addr,rooms,ruler,floor,price,descr,lat,lon
Buzand,3 room,84 m2," floor 8/14 , new construction "," Rent - 1,700 $/month "," Two - bedroom, one-bathroom apartment on Buzand street, next to the park is currently for rent. It covers an area of 84 sq.m. and occupies the 8th floor of a 14-story new building. The apartment is newly renovated and yet uninhabited. Centralized heating and air conditioning system is installed. An open balcony is available. The apartment is for rent together with furniture and home appliances. An underground parking spot will be provided. Bank branches, school N 5 and the bus stop are located nearby. ",40.17787,44.512879
Tsovakal Isakov 4/1,2 room,42 m2, floor 3/9 , Rent - 650 $/month ," One - bedroom, one-bathroom apartment on Tsovakal Isakov avenue, next to the bus stop Kilikia is currently for rent. It covers an area of 42 sq.m. and occupies the 3rd floor of a 9-story building. The apartment is newly renovated and yet uninhabited. Local heating system is installed alongside with an air conditioner. The building has an elevator, a playground and an outdoor parking. ",40.172826,44.492406
Arami,3 room,154 m2," floor 10/14 , new construction "," Rent - 2,000 $/month "," Two - bedroom fashionable apartment on Arami - Saryan crossroads is currently for long term rent. It covers an area of 154 sq.m. and occupies the 10th floor of a new residential 14 storey building. The apartment is fully renovated. All the rooms are furnished and equipped with the necessary appliances. Local heating system and air conditioner are installed. The apartment has 2 open balconies with nice views. The building has an elevator. Numerous shops, supermarkets, boutiques, medical and educational establishments are all located nearby. ",40.18420029,44.50740051
Amiryan,2 room,82 m2," floor 6/13 , new construction "," Rent - 1,000 $/month "," One-bedroom one bathroom apartment is for sale on the 5th floor of an 13 stored new residential building near the Republic Square. The apartment is in zero condition, with very convenient layout. All the communal accommodations are accessible. The building has central heating system. The open balcony faces the park. It is close to shops, amenities, schools, metro station, etc. ",40.18036535,44.5085557
Komitas ave.,3 room,70 m2, floor 4/9 ," Sale - 89,000 $ "," Two - bedroom, оne-bathroom apartment on Komitas - Papazyan crossroads is currently for sale or for rent. It covers an area of 70 sq.m. and occupies the 4th floor of a 9-story building. The apartment is newly renovated and yet uninhabited. Local heating system is installed. With an additional payment the apartment will be furnished. Supermarket ""Yeritsyan and Sons"", bank branches and the bus stop are located nearby. ",40.20569608,44.50347637
Griboyedov,3 room,87 m2," floor 5/12 , new construction ", Sale - on request ," Two-bedroom apartment with 87 sq.m. area is for rent on the 5th floor of 12 storey new residnetial building in Gribayedov street. The apartment is fully repaired and not populated. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. Provided with constant water and gas. Cable tv and internet connection are available. Heated by gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware, All rooms are furnished. Outdoor parking is provided. The building has security system, beautiful playground and located in a quiet place. ",40.20893003,44.51395767
M. Baghramyan ave.,3 room,70 m2," floor 14/14 , new construction "," Sale - 130,000 $ "," Two-bedroom apartment with 70 sq.m. areaq is for sale or rent on the 12th floor of 14 storey new residential building in M. Baghrmyan Avenue. The apartment is fully repaired. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. Provided with constant water and gas. Cable TV and inernet connection are available. Heated by gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware. The building has security system. Outdoor parking is provided. ",40.19207378,44.50537996
Azatutyan ave.,3 room,108 m2, floor 4/4 , Sale - on request , Two - bedroom luxurious apartment on Azatutyan avenue is currently for sale or rent. It covers an area of 108 sq.m. and occupies the 4th floor of a 4 storey building. The apartment is renovated and yet uninhabited. Two types of local heating system are installed. All the rooms are furnished and equipped with the necessary appliances. Closets are available. Cable TV and Internet are installed. From the open balconies a picturesque view towards the Victory park and Cascade can be observed. Numerous shops and entertainment centers can all be found nearby. ,40.19904529,44.52045351
Griboyedov,3 room,86 m2, floor 1/5 ," Sale - 91,000 $ "," Two - bedroom apartment on Mamikonyants - Griboyedov crossroads is currently for sale or rent. It covers an area of 86 sq.m. and occupies the 1st floor of a 5 storey building. The apartment is renovated. Local heating system and air conditioner are installed. All the rooms are furnished and equipped with the necessary appliances. Cable TV and Internet are available. Educational centers, a supermarket and a bus stop are located nearby. ",40.20968865,44.51357514
P.Sevak,3 room,72 m2, floor 3/5 ," Sale - 81,000 $ "," For sale or for long-term rent is a 3-bedroom, 1-bathroom, an uninhabited sunny apartment with an area of 72 sqm on the 3rd floor of a 5-story building on P. Sevak Street. The apartment is completely renovated, a local heating system is installed, the floor is covered with laminate and press granite. The bathroom and kitchen are tiled and equipped with high-quality plumbing. There is an intercom in the building. Nearby there are banks, schools, shops, cafes and entertainment venues. ",40.20871936,44.53607842
Buzand,2 room,55 m2," floor 8/16 , new construction ", Rent - on request ," One - bedroom, one-bathroom apartment on Buzand street, next to the park is currently for rent. It covers an area of 55 sq.m. and occupies the 8th floor of a 16-story new building. The apartment is newly renovated and yet uninhabited. Centralized heating and air conditioning system is installed. Bank branches and the bus stop are located nearby. ",40.180295,44.510597
Hanrapetutyan,4 room,221 m2," floor 5/9 , new construction "," Rent - 2,200 $/month "," Three-bedroom apartment with 221 sq.m. area is for rent on the 4th floor of a 9 storied new residential building in Hanrapetutyan str. The apartment is fully repaired. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is wooden. Water and gas are twenty-four hours, apartment is heating by a gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware. There is a built-in wardrobes, cupboards in the kitchen and the hallway. All the necessary shops are nearby. ",40.17745591,44.51602059
Arami,3 room,140 m2," floor 6/13 , new construction "," Rent - 1,500 $/month "," This 2 bedroom apartment occupying the sixth floor of a 13 story building located on Arami street in Downtown Yerevan is currently for rent. Nearby the houses, bars, restaurants, and cafes can be found as well as sighting places. The area of this home is 140 sq.m.. Electricity, gas, water, and internet have been installed at this location. The apartment is fully furnished with underground parking available. ",40.18048421,44.51240735
N. Zaryan,2 room,70 m2," floor 7/16 , new construction ", Rent - 600 $/month , One - bedroom spacious apartment on N.Zaryan street is currently for rent. It covers an area of 70 sq.m. and occupies the 7th floor of a new residential 16 storey building. The apartment is fully renovated. Centralized heating and conditioning system is installed. The apartment has an open balcony. Underground parking is allocated for cars. ,40.20369896,44.51698163
